"","Participant.ID","Eye.calibration.success","HUD.adjustment","White.Cane","PWS.average.time","Preferred.Walking.Speed..m.s.","Condition","Forward.or.Backward","Layout","Calibrated.Distance","Calibrated.Time","Average.Speed","X.Pitch","Y.Yaw","Z.Roll","Total.Rotation","Order","PPWS","Errors","Median.Rating","Confidence","Obstacle.location","Obstacle.size","Awareness","Preferred.Condition","rotSpeedX","rotSpeedY","rotSpeedZ","Percent.Stopped","Percent.Slowed","Speed.Variance","Speed.Variance.Corrected"
"1","OA01","Yes","None","No",13.5,1.11,"Control (first)","Forward",4,9999,16.78,9999,9999,9999,9999,9999,1,80.44,0,2,2,2,2,2,"N/A",9999,9999,9999,9999,9999,9999,9999
"2","OA01","Yes","None","No",13.5,1.11,"Control (first)","Backward",4,9999,16.27,9999,9999,9999,9999,9999,1,82.96,0,2,2,2,2,2,"N/A",9999,9999,9999,9999,9999,9999,9999
"3","OA01","Yes","None","No",13.5,1.11,"No Cues","Forward",2,15.394,16.78,0.92,420.45,312.71,240.95,974.12,2,78.68,0,-1,-1,-1,-1,-1,"N/A",25.05661502,18.63587604,14.35935638,0.293255132,0.879765396,0.092688989,0.100793388
"4","OA01","Yes","None","No",13.5,1.11,"No Cues","Backward",2,15.27469,15.58,0.98,438.04,296.16,254.45,988.64,2,85.85,0,-1,-1,-1,-1,-1,"N/A",28.11553273,19.00898588,16.33183569,0.606060606,1.818181818,0.116901823,0.119084905
"5","OA01","Yes","None","No",13.5,1.11,"Collocated","Forward",8,15.45442,16.46,0.94,442.25,297.25,235.36,974.86,4,77.77,2,1.5,2,1,2,1,"No",26.86816525,18.05893074,14.29890644,0,1.488095238,0.104613242,0.111284399
"6","OA01","Yes","None","No",13.5,1.11,"Collocated","Backward",8,15.17911,15.12,1,412.75,320.01,240.15,972.92,4,89.21,0,1.5,2,1,2,1,"No",27.29828042,21.16468254,15.88293651,0,1.423487544,0.095873676,0.094995291
"7","OA01","Yes","None","No",13.5,1.11,"HUD","Forward",5,15.19156,16.74,0.91,427.73,324.02,236.11,987.85,3,77.94,0,0.5,0,1,0,2,"No",25.55137395,19.35603345,14.10454002,0.787401575,3.149606299,0.097226655,0.106752281
"8","OA01","Yes","None","No",13.5,1.11,"HUD","Backward",5,15.23637,15.14,1.01,440.09,327.18,251.12,1018.39,3,87.77,0,0.5,0,1,0,2,"No",29.0680317,21.61030383,16.58652576,0,0.961538462,0.076743078,0.076056654
"9","OA01","Yes","None","No",13.5,1.11,"Combined","Forward",7,15.24612,14.44,1.06,466.63,338.61,257.89,1063.14,5,90.41,0,3,3,3,3,3,"Yes",32.31509695,23.44944598,17.85941828,0,0.613496933,0.065933718,0.061928894
"10","OA01","Yes","None","No",13.5,1.11,"Combined","Backward",7,15.24893,14.26,1.07,503.8,350.64,274.65,1129.09,5,93.3,1,3,3,3,3,3,"Yes",35.32959327,24.58906031,19.2601683,0,1.176470588,0.085649689,0.079870261
"11","OA01","Yes","None","No",13.5,1.11,"Control (last)","Forward",1,9999,14.43,9999,9999,9999,9999,9999,6,93.54,0,6,6,6,6,6,"N/A",9999,9999,9999,9999,9999,9999,9999
"12","OA01","Yes","None","No",13.5,1.11,"Control (last)","Backward",1,9999,14.34,9999,9999,9999,9999,9999,6,94.12,0,6,6,6,6,6,"N/A",9999,9999,9999,9999,9999,9999,9999
"13","OA02","Yes","None","Yes",11.68,1.28,"Control (first)","Forward",8,9999,26.11,9999,9999,9999,9999,9999,1,44.73,1,5.5,5,6,7,5,"N/A",9999,9999,9999,9999,9999,9999,9999
"14","OA02","Yes","None","Yes",11.68,1.28,"Control (first)","Backward",8,9999,20.16,9999,9999,9999,9999,9999,1,57.94,0,5.5,5,6,7,5,"N/A",9999,9999,9999,9999,9999,9999,9999
"15","OA02","Yes","None","Yes",11.68,1.28,"No Cues","Forward",5,15.43864,21.56,0.72,468.29,268.25,258.8,995.35,4,52.9,1,0,0,0,0,0,"N/A",21.7203154,12.44202226,12.00371058,0.432900433,3.246753247,0.068982385,0.096244472
"16","OA02","Yes","None","Yes",11.68,1.28,"No Cues","Backward",5,15.53866,20.04,0.78,388.41,261.31,216.67,866.38,4,57.83,1,0,0,0,0,0,"N/A",19.38173653,13.03942116,10.81187625,0.408163265,2.653061224,0.110581741,0.142472719
"17","OA02","Yes","None","Yes",11.68,1.28,"Collocated","Forward",2,16.60967,28.9,0.57,722.25,351.18,332.55,1405.98,5,38.93,1,-0.5,-1,-1,0,0,"Yes",24.99134948,12.15155709,11.50692042,2.805611222,15.83166333,0.069887754,0.121433337
"18","OA02","Yes","None","Yes",11.68,1.28,"Collocated","Backward",2,15.63603,23.42,0.67,758.85,387.25,362.2,1508.3,5,49.84,0,-0.5,-1,-1,0,0,"Yes",32.40179334,16.53501281,15.46541418,2.159827214,10.79913607,0.101279506,0.151568579
"19","OA02","Yes","None","Yes",11.68,1.28,"HUD","Forward",6,15.60964,27.22,0.57,620.2,439.69,232.64,1292.54,2,41.96,2,-1.5,-1,-1,-2,-2,"No",22.78471712,16.15319618,8.54665687,1.886792453,7.169811321,0.049040347,0.085390548
"20","OA02","Yes","None","Yes",11.68,1.28,"HUD","Backward",6,16.10271,29.74,0.54,786.97,504.34,352.31,1643.62,2,39.17,1,-1.5,-1,-1,-2,-2,"No",26.46166779,16.95830531,11.8463349,2.230483271,15.98513011,0.061015834,0.11261396
"21","OA02","Yes","None","Yes",11.68,1.28,"Combined","Forward",1,16.26242,27.32,0.6,624.57,396.76,326.87,1348.2,3,41.44,2,-1,-1,-1,0,-2,"No",22.86127379,14.522694,11.96449488,0.710900474,11.13744076,0.058888244,0.09885661
"22","OA02","Yes","None","Yes",11.68,1.28,"Combined","Backward",1,16.38948,27.38,0.6,788.05,502.5,436.28,1726.84,3,42.33,1,-1,-1,-1,0,-2,"No",28.78195763,18.35281227,15.93425858,0.473933649,11.84834123,0.071545671,0.119348279
"23","OA02","Yes","None","Yes",11.68,1.28,"Control (last)","Forward",7,9999,18.89,9999,9999,9999,9999,9999,6,61.83,1,6,6,6,5,6,"N/A",9999,9999,9999,9999,9999,9999,9999
"24","OA02","Yes","None","Yes",11.68,1.28,"Control (last)","Backward",7,9999,18,9999,9999,9999,9999,9999,6,64.89,1,6,6,6,5,6,"N/A",9999,9999,9999,9999,9999,9999,9999
"25","OA03","Yes","None","No",10.09,1.49,"Control (first)","Forward",7,9999,17.17,9999,9999,9999,9999,9999,1,58.75,0,5,6,3,5,5,"N/A",9999,9999,9999,9999,9999,9999,9999
"26","OA03","Yes","None","No",10.09,1.49,"Control (first)","Backward",7,9999,17.39,9999,9999,9999,9999,9999,1,58.01,0,5,6,3,5,5,"N/A",9999,9999,9999,9999,9999,9999,9999
"27","OA03","Yes","None","No",10.09,1.49,"No Cues","Forward",3,15.58065,18.28,0.85,290.52,217.22,192.45,700.19,5,53.85,0,-1,-2,-1,-1,-1,"N/A",15.89277899,11.88293217,10.52789934,0,0.724637681,0.104140067,0.122048591
"28","OA03","Yes","None","No",10.09,1.49,"No Cues","Backward",3,15.38031,16.12,0.95,362.83,234.54,250.17,847.54,5,62.58,0,-1,-2,-1,-1,-1,"N/A",22.50806452,14.54962779,15.51923077,0,0.519480519,0.154967243,0.162218696
"29","OA03","Yes","None","No",10.09,1.49,"Collocated","Forward",2,15.76275,21.64,0.73,325.74,262.68,187.22,775.64,4,45.69,0,2,2,2,2,0,"Yes",15.05268022,12.13863216,8.651571165,0,1.902748414,0.078077889,0.107090719
"30","OA03","Yes","None","No",10.09,1.49,"Collocated","Backward",2,15.47161,17.66,0.88,303.71,236.75,200.77,741.23,4,57.11,0,2,2,2,2,0,"Yes",17.19762174,13.40600227,11.36862967,1.308900524,2.617801047,0.12028633,0.137144819
"31","OA03","Yes","None","No",10.09,1.49,"HUD","Forward",6,15.98743,26.26,0.61,438.19,332.88,215.19,986.26,3,37.89,0,-1,-1,0,-2,-1,"No",16.68659558,12.67631379,8.194592536,0.34965035,7.342657343,0.09580103,0.15711716
"32","OA03","Yes","None","No",10.09,1.49,"HUD","Backward",6,15.70012,25.68,0.61,450.15,385.24,242.39,1077.79,3,39.25,0,-1,-1,0,-2,-1,"No",17.52920561,15.00155763,9.438862928,0.382409178,4.971319312,0.069658472,0.113759875
"33","OA03","Yes","None","No",10.09,1.49,"Combined","Forward",4,15.82273,25.22,0.63,517.99,494.04,252.19,1264.21,2,39.33,0,0.5,0,1,1,-1,"No",20.53885805,19.58921491,9.999603489,0.201207243,6.036217304,0.093191918,0.148421348
"34","OA03","Yes","None","No",10.09,1.49,"Combined","Backward",4,16.07086,26.5,0.61,430.67,382.52,238.38,1051.57,2,38.04,0,0.5,0,1,1,-1,"No",16.25169811,14.43471698,8.995471698,0.215982721,10.36717063,0.068254343,0.112547808
"35","OA03","Yes","None","No",10.09,1.49,"Control (last)","Forward",5,9999,14.91,9999,9999,9999,9999,9999,6,67.66,0,5.5,6,3,5,6,"N/A",9999,9999,9999,9999,9999,9999,9999
"36","OA03","Yes","None","No",10.09,1.49,"Control (last)","Backward",5,9999,13.96,9999,9999,9999,9999,9999,6,72.26,0,5.5,6,3,5,6,"N/A",9999,9999,9999,9999,9999,9999,9999
"37","OA04","Yes","None","Yes",10.51,1.43,"Control (first)","Forward",6,9999,22.05,9999,9999,9999,9999,9999,1,47.68,0,6,5,7,6,6,"N/A",9999,9999,9999,9999,9999,9999,9999
"38","OA04","Yes","None","Yes",10.51,1.43,"Control (first)","Backward",6,9999,18.94,9999,9999,9999,9999,9999,1,55.5,0,6,5,7,6,6,"N/A",9999,9999,9999,9999,9999,9999,9999
"39","OA04","Yes","None","Yes",10.51,1.43,"No Cues","Forward",5,15.56777,21.32,0.73,465.3,395.35,369.79,1230.44,2,46.36,1,-1,-1,-1,0,-1,"N/A",21.82457786,18.54362101,17.34474672,1.335877863,5.34351145,0.141202681,0.193013664
"40","OA04","Yes","None","Yes",10.51,1.43,"No Cues","Backward",5,15.32382,18.92,0.81,410.55,311.81,323.84,1046.21,2,55.2,0,-1,-1,-1,0,-1,"N/A",21.69926004,16.48044397,17.11627907,0.279329609,3.072625698,0.128877348,0.158953872
"41","OA04","Yes","None","Yes",10.51,1.43,"Collocated","Forward",3,15.63054,21.06,0.74,555.08,321.21,361.54,1237.83,5,48.17,0,2,1,2,3,2,"Yes",26.35707502,15.25213675,17.1671415,0.269541779,2.964959569,0.088684977,0.119490776
"42","OA04","Yes","None","Yes",10.51,1.43,"Collocated","Backward",3,15.55602,18.88,0.82,500.8,399.93,361.89,1262.62,5,55.66,1,2,1,2,3,2,"Yes",26.52542373,21.18273305,19.16790254,0,1.823708207,0.108889504,0.131176764
"43","OA04","Yes","None","Yes",10.51,1.43,"HUD","Forward",7,15.79477,28.86,0.55,631.87,410.36,365.81,1408.03,4,35.67,0,-1,-1,-2,-1,-1,"No",21.89431739,14.21898822,12.67532918,0.188679245,15.8490566,0.06621681,0.120738947
"44","OA04","Yes","None","Yes",10.51,1.43,"HUD","Backward",7,15.51827,28.38,0.55,624.75,440.71,394.69,1460.15,4,36.95,1,-1,-1,-2,-1,-1,"No",22.01374207,15.52889359,13.90732911,1.224489796,13.87755102,0.059053572,0.107845752
"45","OA04","Yes","None","Yes",10.51,1.43,"Combined","Forward",8,15.79812,25,0.63,576.77,351.9,301.57,1230.24,3,40.19,2,-1.5,-2,-2,2,-1,"No",23.0708,14.076,12.0628,0.759493671,10.63291139,0.082157637,0.129803824
"46","OA04","Yes","None","Yes",10.51,1.43,"Combined","Backward",8,15.86646,24.82,0.64,602.68,548.1,432.98,1583.76,3,42.23,0,-1.5,-2,-2,2,-1,"No",24.28203062,22.08299758,17.44480258,0.290697674,10.75581395,0.073388174,0.114524081
"47","OA04","Yes","None","Yes",10.51,1.43,"Control (last)","Forward",2,9999,17.29,9999,9999,9999,9999,9999,6,60.8,1,6,6,6,5,7,"N/A",9999,9999,9999,9999,9999,9999,9999
"48","OA04","Yes","None","Yes",10.51,1.43,"Control (last)","Backward",2,9999,14.95,9999,9999,9999,9999,9999,6,70.32,0,6,6,6,5,7,"N/A",9999,9999,9999,9999,9999,9999,9999
"49","OA05","Yes","None","No",11.23,1.34,"Control (first)","Forward",4,9999,17.74,9999,9999,9999,9999,9999,1,63.32,1,5,5,4,5,6,"N/A",9999,9999,9999,9999,9999,9999,9999
"50","OA05","Yes","None","No",11.23,1.34,"Control (first)","Backward",4,9999,17.61,9999,9999,9999,9999,9999,1,63.78,0,5,5,4,5,6,"N/A",9999,9999,9999,9999,9999,9999,9999
"51","OA05","Yes","None","No",11.23,1.34,"No Cues","Forward",2,15.56101,20.3,0.77,460.48,323.35,214.63,998.45,2,55.13,0,-1,-1,0,-1,-2,"N/A",22.68374384,15.92857143,10.5729064,0.145348837,3.197674419,0.167907095,0.218826088
"52","OA05","Yes","None","No",11.23,1.34,"No Cues","Backward",2,15.59507,21.7,0.72,406.99,376.21,186.33,969.52,2,51.75,0,-1,-1,0,-1,-2,"N/A",18.75529954,17.33686636,8.586635945,0.821596244,7.394366197,0.146586114,0.203969424
"53","OA05","Yes","None","No",11.23,1.34,"Collocated","Forward",5,15.59907,20.28,0.77,446.93,285.36,199.93,932.21,3,53.21,0,1,1,1,2,1,"No",22.03796844,14.07100592,9.858481262,0.663716814,2.876106195,0.082774496,0.107507001
"54","OA05","Yes","None","No",11.23,1.34,"Collocated","Backward",5,15.48671,18.52,0.84,430.19,276.98,211.92,919.09,3,60.61,0,1,1,1,2,1,"No",23.22840173,14.95572354,11.44276458,0.257069409,2.05655527,0.09095126,0.108647892
"55","OA05","Yes","None","No",11.23,1.34,"HUD","Forward",1,15.68278,21.84,0.72,432.26,318.38,183.58,934.23,4,50.94,1,0,0,1,0,0,"Yes",19.79212454,14.57783883,8.405677656,0.568181818,4.734848485,0.101107493,0.140674502
"56","OA05","Yes","None","No",11.23,1.34,"HUD","Backward",1,15.59067,19.58,0.8,442.3,351.11,208.78,1002.19,4,57.09,1,0,0,1,0,0,"Yes",22.58937692,17.93207354,10.66292135,0,2.654867257,0.10897004,0.136713467
"57","OA05","Yes","None","No",11.23,1.34,"Combined","Forward",6,15.42574,17.24,0.89,369.91,277.5,197.04,844.45,5,63.87,0,1,1,0,1,1,"No",21.45649652,16.0962877,11.42923434,0,1.066666667,0.157963875,0.176337295
"58","OA05","Yes","None","No",11.23,1.34,"Combined","Backward",6,15.46048,16.88,0.92,403.76,291.51,232.13,927.4,5,66.49,0,1,1,0,1,1,"No",23.91943128,17.26954976,13.75177725,0,2.727272727,0.088484118,0.096608416
"59","OA05","Yes","None","No",11.23,1.34,"Control (last)","Forward",7,9999,14.58,9999,9999,9999,9999,9999,6,77.04,0,6,5,6,6,7,"N/A",9999,9999,9999,9999,9999,9999,9999
"60","OA05","Yes","None","No",11.23,1.34,"Control (last)","Backward",7,9999,15.02,9999,9999,9999,9999,9999,6,74.78,0,6,5,6,6,7,"N/A",9999,9999,9999,9999,9999,9999,9999
"61","OA06","No","None","Yes",10.32,1.45,"Control (first)","Forward",7,9999,23.58,9999,9999,9999,9999,9999,1,43.77,3,5.5,6,5,2,6,"N/A",9999,9999,9999,9999,9999,9999,9999
"62","OA06","No","None","Yes",10.32,1.45,"Control (first)","Backward",7,9999,20.36,9999,9999,9999,9999,9999,1,50.69,2,5.5,6,5,2,6,"N/A",9999,9999,9999,9999,9999,9999,9999
"63","OA06","No","None","Yes",10.32,1.45,"No Cues","Forward",4,15.50469,19.82,0.78,317.51,219.49,211.61,748.61,5,51.44,2,0,0,0,-1,0,"N/A",16.01967709,11.07416751,10.6765893,1.072386059,2.949061662,0.154383461,0.196754632
"64","OA06","No","None","Yes",10.32,1.45,"No Cues","Backward",4,15.29956,17.72,0.86,266.24,186.98,174.05,627.27,5,58.06,2,0,0,0,-1,0,"N/A",15.0248307,10.55191874,9.822234763,1.13960114,3.703703704,0.156905991,0.181523406
"65","OA06","No","None","Yes",10.32,1.45,"Collocated","Forward",6,15.83159,24.04,0.66,718.71,382.03,225.73,1326.47,3,42.91,0,2.5,3,2,3,-1,"Yes",29.89642263,15.89143095,9.389767055,0.54446461,6.715063521,0.128036928,0.194260364
"66","OA06","No","None","Yes",10.32,1.45,"Collocated","Backward",6,15.29528,21.94,0.7,626.35,323.19,202.08,1151.62,3,47.03,1,2.5,3,2,3,-1,"Yes",28.54831358,14.73062899,9.210574294,0.404040404,4.646464646,0.146115629,0.209400749
"67","OA06","No","None","Yes",10.32,1.45,"HUD","Forward",3,15.93017,28.28,0.56,833.72,432.59,259.37,1525.68,2,36.02,2,1,2,2,0,-2,"No",29.48090523,15.2966761,9.171499293,2.152080344,18.50789096,0.114881836,0.203799547
"68","OA06","No","None","Yes",10.32,1.45,"HUD","Backward",3,15.78364,27.82,0.57,1092.89,400.49,254.75,1748.13,2,36.92,0,1,2,2,0,-2,"No",39.28432782,14.39575845,9.157081237,1.433691756,13.62007168,0.074142243,0.130587952
"69","OA06","No","None","Yes",10.32,1.45,"Combined","Forward",2,15.54024,24.64,0.63,647.04,340.47,204.37,1191.89,4,41.58,0,3,3,3,3,-1,"No",26.25974026,13.81777597,8.294237013,0.213219616,5.756929638,0.094551674,0.149796499
"70","OA06","No","None","Yes",10.32,1.45,"Combined","Backward",2,15.84628,23.36,0.68,574.64,354.07,208.48,1137.19,4,44.16,2,3,3,3,3,-1,"No",24.59931507,15.15710616,8.924657534,0.456621005,7.99086758,0.090359149,0.133090616
"71","OA06","No","None","Yes",10.32,1.45,"Control (last)","Forward",1,9999,18.42,9999,9999,9999,9999,9999,6,56.03,2,5.5,6,5,2,6,"N/A",9999,9999,9999,9999,9999,9999,9999
"72","OA06","No","None","Yes",10.32,1.45,"Control (last)","Backward",1,9999,17.93,9999,9999,9999,9999,9999,6,57.56,2,5.5,6,5,2,6,"N/A",9999,9999,9999,9999,9999,9999,9999
"73","OA08","Yes","None","Yes",11.69,1.28,"Control (first)","Forward",1,9999,28.56,9999,9999,9999,9999,9999,1,40.92,2,3,3,3,1,7,"N/A",9999,9999,9999,9999,9999,9999,9999
"74","OA08","Yes","None","Yes",11.69,1.28,"Control (first)","Backward",1,9999,27.7,9999,9999,9999,9999,9999,1,42.19,1,3,3,3,1,7,"N/A",9999,9999,9999,9999,9999,9999,9999
"75","OA08","Yes","None","Yes",11.69,1.28,"No Cues","Forward",4,16.91165,26.92,0.63,983.84,598.27,807.84,2389.94,4,42.27,2,-1.5,-3,0,0,-3,"N/A",36.54680535,22.22399703,30.0089153,1.319261214,9.762532982,0.120322542,0.191387558
"76","OA08","Yes","None","Yes",11.69,1.28,"No Cues","Backward",4,15.47153,20.74,0.75,698.57,366.26,476.57,1541.39,4,56.18,2,-1.5,-3,0,0,-3,"N/A",33.68225651,17.65959499,22.9783028,0,4.684317719,0.143072328,0.191608204
"77","OA08","Yes","None","Yes",11.69,1.28,"Collocated","Forward",7,15.37564,16.6,0.93,579.45,296.92,343.89,1220.26,5,68.66,1,3,3,3,3,3,"Yes",34.90662651,17.88674699,20.71626506,0,2.305475504,0.139086214,0.149438084
"78","OA08","Yes","None","Yes",11.69,1.28,"Collocated","Backward",7,15.69208,14.48,1.08,542.87,321.25,405.38,1269.5,5,79.24,0,3,3,3,3,3,"Yes",37.4910221,22.18577348,27.99585635,0,3.663003663,0.204633751,0.188567804
"79","OA08","Yes","None","Yes",11.69,1.28,"HUD","Forward",2,17.9091,28.22,0.63,789.85,383.99,469.2,1643.04,2,40.12,2,1,1,1,0,1,"No",27.98901488,13.6070163,16.62650602,1.211072664,8.131487889,0.733665533,1.155243226
"80","OA08","Yes","None","Yes",11.69,1.28,"HUD","Backward",2,15.96039,24.34,0.66,694.68,353.08,335.1,1382.85,2,47.85,1,1,1,1,0,1,"No",28.54067379,14.5061627,13.76746097,1.322751323,8.201058201,0.08361269,0.127511463
"81","OA08","Yes","None","Yes",11.69,1.28,"Combined","Forward",3,16.25963,26.34,0.62,1002.53,482.67,496.09,1981.28,3,42.87,2,3,3,3,3,1,"No",38.06112377,18.32460137,18.83409263,0.790513834,11.85770751,0.08397465,0.135415936
"82","OA08","Yes","None","Yes",11.69,1.28,"Combined","Backward",3,16.13294,21.24,0.76,660.37,317.12,317.93,1295.42,3,54.61,0,3,3,3,3,1,"No",31.09086629,14.93032015,14.96845574,1.358695652,5.434782609,0.093022226,0.12235434
"83","OA08","Yes","None","Yes",11.69,1.28,"Control (last)","Forward",8,9999,20.99,9999,9999,9999,9999,9999,6,55.68,1,5,5,6,4,5,"N/A",9999,9999,9999,9999,9999,9999,9999
"84","OA08","Yes","None","Yes",11.69,1.28,"Control (last)","Backward",8,9999,20.59,9999,9999,9999,9999,9999,6,56.76,2,5,5,6,4,5,"N/A",9999,9999,9999,9999,9999,9999,9999
"85","OA09","Yes","None","No",13.49,1.11,"Control (first)","Forward",5,9999,16.21,9999,9999,9999,9999,9999,1,83.19,0,7,7,7,7,7,"N/A",9999,9999,9999,9999,9999,9999,9999
"86","OA09","Yes","None","No",13.49,1.11,"Control (first)","Backward",5,9999,14.78,9999,9999,9999,9999,9999,1,91.24,0,7,7,7,7,7,"N/A",9999,9999,9999,9999,9999,9999,9999
"87","OA09","Yes","None","No",13.49,1.11,"No Cues","Forward",1,15.55068,16.88,0.92,473.02,240.9,191.54,905.46,5,79.39,0,-1,-1,-1,-1,-1,"N/A",28.02251185,14.27132701,11.3471564,0,2.649006623,0.214267658,0.232583929
"88","OA09","Yes","None","No",13.49,1.11,"No Cues","Backward",1,15.35164,15.44,0.99,452.01,213.78,202.65,868.44,5,86.05,0,-1,-1,-1,-1,-1,"N/A",29.27525907,13.84585492,13.125,0.240384615,2.644230769,0.271187976,0.272042555
"89","OA09","Yes","None","No",13.49,1.11,"Collocated","Forward",4,16.22227,21.9,0.74,541.49,336.54,259.24,1137.27,2,60.4,1,2.5,2,3,3,2,"Yes",24.72557078,15.36712329,11.83744292,3.80761523,9.819639279,0.15571733,0.210025767
"90","OA09","Yes","None","No",13.49,1.11,"Collocated","Backward",4,15.51264,19.64,0.79,506.17,324.13,242.93,1073.24,2,68.61,0,2.5,2,3,3,2,"Yes",25.77240326,16.50356415,12.3691446,0.510204082,4.591836735,0.109221495,0.137858898
"91","OA09","Yes","None","No",13.49,1.11,"HUD","Forward",6,15.56815,19.64,0.79,410.41,283.85,180.49,874.75,4,68.64,0,1.5,1,2,0,2,"No",20.89663951,14.45264766,9.189918534,0.697674419,3.255813953,0.098363423,0.123964017
"92","OA09","Yes","None","No",13.49,1.11,"HUD","Backward",6,15.63846,18.36,0.85,447.79,271.6,192.52,911.92,4,73.28,0,1.5,1,2,0,2,"No",24.38943355,14.79302832,10.48583878,0,1.5625,0.109091214,0.127937326
"93","OA09","Yes","None","No",13.49,1.11,"Combined","Forward",7,15.55315,18.9,0.82,577.78,317.77,255.51,1151.05,3,70.18,0,3,3,3,3,2,"No",30.57037037,16.81322751,13.51904762,0,1.529051988,0.071872082,0.087245702
"94","OA09","Yes","None","No",13.49,1.11,"Combined","Backward",7,15.54425,17.8,0.87,520.08,314.51,257.2,1091.79,3,75.08,0,3,3,3,3,2,"No",29.21797753,17.66910112,14.4494382,0.363636364,1.454545455,0.079226509,0.090417846
"95","OA09","Yes","None","No",13.49,1.11,"Control (last)","Forward",3,9999,16.1,9999,9999,9999,9999,9999,6,83.76,0,7,7,7,6,7,"N/A",9999,9999,9999,9999,9999,9999,9999
"96","OA09","Yes","None","No",13.49,1.11,"Control (last)","Backward",3,9999,15.03,9999,9999,9999,9999,9999,6,89.72,0,7,7,7,6,7,"N/A",9999,9999,9999,9999,9999,9999,9999
"97","OA10","No","None","Yes",9.33,1.61,"Control (first)","Forward",3,9999,34.13,9999,9999,9999,9999,9999,1,27.32,2,4,4,2,4,4,"N/A",9999,9999,9999,9999,9999,9999,9999
"98","OA10","No","None","Yes",9.33,1.61,"Control (first)","Backward",3,9999,34.52,9999,9999,9999,9999,9999,1,27.01,2,4,4,2,4,4,"N/A",9999,9999,9999,9999,9999,9999,9999
"99","OA10","No","None","Yes",9.33,1.61,"No Cues","Forward",8,17.44174,42.14,0.41,902.18,1859.49,795.69,3557.36,2,22.01,3,-3,-3,-3,-2,-3,"N/A",21.40911248,44.12648315,18.8820598,3.430275913,33.1841909,0.073627426,0.177802649
"100","OA10","No","None","Yes",9.33,1.61,"No Cues","Backward",8,16.91879,35.3,0.48,819.71,1510.76,620.08,2950.55,2,26.18,1,-3,-3,-3,-2,-3,"N/A",23.22124646,42.79773371,17.56600567,5,27.67857143,0.119615831,0.249570824
"101","OA10","No","None","Yes",9.33,1.61,"Collocated","Forward",6,19.38565,59.86,0.32,1659.88,2192.52,903.61,4756.02,3,15.53,2,-1.5,-1,-1,-2,-2,"Yes",27.72936853,36.62746408,15.09538924,10.04313001,50.46210721,0.065557189,0.202430823
"102","OA10","No","None","Yes",9.33,1.61,"Collocated","Backward",6,17.92681,53.04,0.34,1571.28,1687.76,812.14,4071.19,3,17.44,3,-1.5,-1,-1,-2,-2,"Yes",29.62443439,31.82051282,15.31184012,19.07600596,46.49776453,0.083521131,0.247020673
"103","OA10","No","None","Yes",9.33,1.61,"HUD","Forward",4,19.58819,60.56,0.32,1498.09,2346.21,1295.53,5139.84,4,15.33,3,-2,-2,-2,-2,-2,"No",24.73728534,38.74190885,21.3925033,18.3935743,51.24497992,0.085509257,0.264278348
"104","OA10","No","None","Yes",9.33,1.61,"HUD","Backward",4,18.99215,60.5,0.31,1928.3,1804.9,1125.79,4858.99,4,15.36,2,-2,-2,-2,-2,-2,"No",31.87272727,29.83305785,18.60809917,17.1875,53.41796875,0.0634583,0.202148072
"105","OA10","No","None","Yes",9.33,1.61,"Combined","Forward",2,18.31859,55.82,0.33,1560.12,2051.96,1019.08,4631.16,5,16.68,3,-2,-2,-2,-2,-2,"No",27.94912218,36.76030097,18.25653887,16.28630705,50,0.06738861,0.205345278
"106","OA10","No","None","Yes",9.33,1.61,"Combined","Backward",2,17.24254,47.86,0.36,1223.11,1737.02,767.84,3727.97,5,19.25,2,-2,-2,-2,-2,-2,"No",25.55599666,36.29377351,16.04346009,13.16187595,43.11649017,0.058005614,0.160871479
"107","OA10","No","None","Yes",9.33,1.61,"Control (last)","Forward",1,9999,31.21,9999,9999,9999,9999,9999,6,29.88,2,4,4,3,4,4,"N/A",9999,9999,9999,9999,9999,9999,9999
